cohort,outcome,percentile_threshold,group_kind,group_value,status,reason,n_outcome_valid,n_in_top,n_group_total,pct_of_top,pct_of_sample,representation_ratio,threshold_value,source_data
nlsy79,earnings,90,race_sex,HISPANIC|male,computed,,7390,80,561,0.10596,0.075913,1.3958,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race_sex,HISPANIC|female,computed,,7390,15,618,0.019868,0.083627,0.2376,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,7390,434,1999,0.574834,0.270501,2.1251,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,90,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,7390,128,2270,0.169536,0.307172,0.5519,34000.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race,BLACK,computed,,7390,16,1942,0.09697,0.262788,0.369,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race,HISPANIC,computed,,7390,17,1179,0.10303,0.15954,0.6458,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race,"NON-BLACK, NON-HISPANIC",computed,,7390,132,4269,0.8,0.577673,1.3849,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,sex,male,computed,,7390,133,3513,0.806061,0.475372,1.6956,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,sex,female,computed,,7390,32,3877,0.193939,0.524628,0.3697,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race_sex,BLACK|male,computed,,7390,14,953,0.084848,0.128958,0.658,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race_sex,BLACK|female,computed,,7390,2,989,0.012121,0.133829,0.0906,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race_sex,HISPANIC|male,computed,,7390,16,561,0.09697,0.075913,1.2774,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race_sex,HISPANIC|female,computed,,7390,1,618,0.006061,0.083627,0.0725,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,7390,103,1999,0.624242,0.270501,2.3077,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,99,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,7390,29,2270,0.175758,0.307172,0.5722,74283.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race,BLACK,computed,,4736,59,1376,0.124473,0.290541,0.4284,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race,HISPANIC,computed,,4736,61,867,0.128692,0.183066,0.703,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race,"NON-BLACK, NON-HISPANIC",computed,,4736,354,2493,0.746835,0.526394,1.4188,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,sex,male,computed,,4736,238,2243,0.50211,0.473606,1.0602,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,sex,female,computed,,4736,236,2493,0.49789,0.526394,0.9459,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race_sex,BLACK|male,computed,,4736,35,635,0.07384,0.134079,0.5507,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race_sex,BLACK|female,computed,,4736,24,741,0.050633,0.156461,0.3236,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race_sex,HISPANIC|male,computed,,4736,26,403,0.054852,0.085093,0.6446,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race_sex,HISPANIC|female,computed,,4736,35,464,0.07384,0.097973,0.7537,103883.5,data/processed/nlsy79_cfa_resid.csv
