cohort,outcome,group_kind,group_value,status,reason,n_total,n_used,n_positive,prevalence,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,pseudo_r2,source_data
nlsy79,ba_or_more,race,"NON-BLACK, NON-HISPANIC",computed,,5555,2936,894,0.30449591280653954,2.1741074364016075,0.0951197956409569,1.2587480926053868e-115,8.794332117335719,0.22183294342866666,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,sex,male,computed,,4587,2751,604,0.21955652490003635,1.867118717591496,0.08729360754455845,1.6932273546670973e-101,6.469628691394077,0.2555232955539021,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,sex,female,computed,,4674,3043,777,0.25534012487676633,1.8331778766942954,0.08122746403308691,8.849607568735803e-113,6.253728692722186,0.2113050916038971,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race_sex,BLACK|male,computed,,1169,858,127,0.14801864801864803,2.061056633081539,0.18210580211449653,1.0699528128279436e-29,7.854264503028413,0.2586277782320737,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race_sex,BLACK|female,computed,,1176,951,192,0.20189274447949526,2.4126736114857383,0.19751995204522096,2.5902664862519472e-34,11.163768860834184,0.22489190589961994,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race_sex,HISPANIC|male,computed,,661,496,70,0.14112903225806453,1.7939478183613555,0.23063585897142774,7.352343706223971e-15,6.01314447190105,0.22416685306253725,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race_sex,HISPANIC|female,computed,,700,553,98,0.17721518987341772,1.8611267884935971,0.21255589826365578,2.0240856335822025e-18,6.4309790435972864,0.21109757444670663,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,2757,1397,407,0.29133858267716534,2.588137172295944,0.16063794645171361,2.1141989392948628e-58,13.304963649010665,0.269564277557667,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,2798,1539,487,0.31643924626380765,2.497743700029628,0.14667152067487385,4.962042362322165e-65,12.155037586497146,0.23564253803694868,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race,BLACK,computed,,2345,1809,98,0.054173576561636266,1.5281022761432765,0.1600751476467339,1.3459843874062248e-21,4.609421108560661,0.12853055315391182,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race,HISPANIC,computed,,1361,1049,58,0.055290753098188754,1.6389570924762846,0.21549602394996664,2.8378329891414753e-14,5.149795949715783,0.1651962848995594,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race,"NON-BLACK, NON-HISPANIC",computed,,5555,2936,332,0.11307901907356949,1.9647241839338325,0.12735802818083247,1.0813348752285322e-53,7.132944938002887,0.15976722861851456,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,sex,male,computed,,4587,2751,205,0.07451835696110505,1.9992926740057193,0.14409854215190682,9.044372391118947e-44,7.383831475452504,0.219611776953324,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,sex,female,computed,,4674,3043,283,0.09300032862306934,1.6171737615025168,0.11020589114226122,9.444169350960988e-49,5.038829240274023,0.14876899899818752,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race_sex,BLACK|male,computed,,1169,858,33,0.038461538461538464,1.5293438268175605,0.24840758365078797,7.432760038355396e-10,4.615147492508402,0.14781049103552846,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race_sex,BLACK|female,computed,,1176,951,65,0.0683491062039958,1.938479218780316,0.248350588736443,5.930642745202457e-15,6.948176275785411,0.15026559301877684,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race_sex,HISPANIC|male,computed,,661,496,25,0.05040322580645161,1.9381411522497554,0.3726030592900227,1.9755420478155195e-07,6.94582772694338,0.20094731363675988,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race_sex,HISPANIC|female,computed,,700,553,33,0.059674502712477394,1.8037669121195299,0.30747977370146334,4.4564192044143295e-09,6.072478929829928,0.17612299628851258,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,2757,1397,147,0.10522548317823908,2.9039668279429716,0.2556110513538833,6.548065837016279e-30,18.246382258063388,0.24275083367970018,data/processed/nlsy79_cfa_resid.csv
nlsy79,graduate_or_more,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,2798,1539,185,0.12020792722547108,2.006771755467824,0.1806388097231405,1.130349700936907e-28,7.43926278180113,0.1463525058873859,data/processed/nlsy79_cfa_resid.csv
nlsy97,employment,race,BLACK,computed,,1784,1383,953,0.6890817064352857,0.8248016083096953,0.08928384726333939,2.5121513962105113e-20,2.281428104050799,0.05462350473420108,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race,HISPANIC,computed,,1346,982,756,0.769857433808554,0.6155246759029699,0.11545240224932653,9.745040098677982e-08,1.8506273244405929,0.02972449573468039,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race,"NON-BLACK, NON-HISPANIC",computed,,3862,2654,2148,0.8093443858327054,0.6942793963597675,0.0692363820922033,1.1520630357562334e-23,2.0022657139961995,0.03993055513078281,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,sex,male,computed,,3533,2423,1962,0.8097399917457697,0.6384902424611965,0.06306694924131073,4.323443078055009e-24,1.8936198133016595,0.04591935204721942,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,sex,female,computed,,3459,2596,1895,0.7299691833590138,0.8034243390757037,0.0626866377713917,1.3252148192288793e-37,2.2331749986209863,0.058744954759548995,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race_sex,BLACK|male,computed,,864,625,443,0.7088,0.7153755369030255,0.1294088951469902,3.2385691773274324e-08,2.044954493956208,0.04379407195498808,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race_sex,BLACK|female,computed,,920,758,510,0.6728232189973615,0.951533362081507,0.12532803796158665,3.1417377240512746e-14,2.5896775297748427,0.06841629206303479,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race_sex,HISPANIC|male,computed,,682,463,379,0.8185745140388769,0.534235148456865,0.17398422654974924,0.0021363249709877787,1.7061427971307992,0.02373115908802681,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race_sex,HISPANIC|female,computed,,664,519,377,0.7263969171483622,0.671214189922337,0.15747020181547539,2.021671262874363e-05,1.9566115770038992,0.033722859451947085,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,1987,1335,1140,0.8539325842696629,0.48127222949920456,0.09872516954810061,1.088809020331033e-06,1.6181317281381575,0.02200646761529068,data/processed/nlsy97_cfa_resid.csv
nlsy97,employment,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,1875,1319,1008,0.7642153146322972,0.9093146995856533,0.10285830776404661,9.532577543780752e-19,2.4826206093545458,0.05842550816394709,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race,BLACK,computed,,1784,1438,437,0.303894297635605,1.637168285372862,0.1089840034630169,5.2616346560017626e-51,5.140592192467131,0.17282149337489583,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race,HISPANIC,computed,,1346,1025,311,0.30341463414634146,1.3960026545312012,0.12219077586098746,3.144532400094483e-30,4.039022287061238,0.1307872356307881,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race,"NON-BLACK, NON-HISPANIC",computed,,3862,2841,1358,0.47800070397747274,1.619595515390635,0.0758381485795229,3.433384156705963e-101,5.0510468326078515,0.1639594336399084,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,sex,male,computed,,3533,2574,872,0.33877233877233875,1.5257714527793835,0.07190559376843267,6.364033397601983e-100,4.5986898733120585,0.1999014052444935,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,sex,female,computed,,3459,2730,1234,0.452014652014652,1.5769860010667205,0.07187129488692509,1.0370141732349792e-106,4.84034500913283,0.1769256858407524,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race_sex,BLACK|male,computed,,864,655,129,0.1969465648854962,1.5373113201213027,0.1734230013600474,7.683572458831865e-19,4.652065526044125,0.1581283110407602,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race_sex,BLACK|female,computed,,920,783,308,0.3933588761174968,1.8150575550246502,0.15099676722951522,2.7726813008164234e-33,6.141429637407311,0.19475797573107156,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race_sex,HISPANIC|male,computed,,682,486,133,0.2736625514403292,1.5321641779260813,0.18605116477786238,1.792931198550845e-16,4.628182201442529,0.15884625647094386,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race_sex,HISPANIC|female,computed,,664,539,178,0.3302411873840445,1.3546941243878008,0.16788045173159685,7.064582067154194e-16,3.8755753313383945,0.1170281753714778,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,1987,1433,610,0.42568039078855546,1.6078480913484186,0.10379140128252373,3.9810963890331285e-54,4.992057210052031,0.1791916596697094,data/processed/nlsy97_cfa_resid.csv
nlsy97,ba_or_more,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,1875,1408,748,0.53125,1.8597862801777851,0.12045956507075756,8.934957799360776e-54,6.42236403824376,0.17608033802513623,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race,BLACK,computed,,1784,1438,203,0.1411682892906815,1.5297144579739255,0.13295615000312339,1.2390519661620478e-30,4.616858326985041,0.14391859404420548,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race,HISPANIC,computed,,1346,1025,123,0.12,1.4374138993681205,0.1655528153361205,3.87130711563193e-18,4.209794774549065,0.12067199373031445,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race,"NON-BLACK, NON-HISPANIC",computed,,3862,2841,605,0.21295318549806405,1.2243075129020629,0.0823732854645142,5.73695576924028e-50,3.4018095577250236,0.09267229265888788,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,sex,male,computed,,3533,2574,366,0.14219114219114218,1.255874948556423,0.08614572064961319,3.8490943495841025e-48,3.5109088955425416,0.12988202773112,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,sex,female,computed,,3459,2730,565,0.20695970695970695,1.3040032012427607,0.08131501337154227,7.111769876307959e-58,3.6840150412490016,0.11646319762452295,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race_sex,BLACK|male,computed,,864,655,51,0.07786259541984733,1.4559844011722165,0.2374521694132177,8.694739622507013e-10,4.288703192759418,0.12750455160192165,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race_sex,BLACK|female,computed,,920,783,152,0.194125159642401,1.627081178950231,0.1691417577337465,6.606818743271045e-22,5.088999141707324,0.15799903454799658,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race_sex,HISPANIC|male,computed,,682,486,57,0.11728395061728394,1.1959224153290342,0.22961433349498858,1.9047988944693025e-07,3.306606428677887,0.09336250529449575,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race_sex,HISPANIC|female,computed,,664,539,66,0.12244897959183673,1.7085093120235184,0.24331333707426891,2.1895239092364445e-12,5.520725661268191,0.15440154711813492,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,1987,1433,258,0.18004187020237264,1.3352146471663793,0.12134049078822316,3.6608781188755136e-28,3.800811692327063,0.11579833662520167,data/processed/nlsy97_cfa_resid.csv
nlsy97,graduate_or_more,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,1875,1408,347,0.24644886363636365,1.320042389356259,0.12349433910628425,1.1448591740594802e-26,3.7435800618464956,0.0902210316269868,data/processed/nlsy97_cfa_resid.csv
cnlsy,ba_or_more,race,BLACK,not_feasible,outcome_not_binary,129,42,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race,HISPANIC,not_feasible,outcome_not_binary,118,27,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race,"NON-BLACK, NON-HISPANIC",not_feasible,outcome_not_binary,298,102,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,sex,male,not_feasible,outcome_not_binary,272,78,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,sex,female,not_feasible,outcome_not_binary,273,93,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race_sex,BLACK|male,not_feasible,outcome_not_binary,64,19,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race_sex,BLACK|female,not_feasible,outcome_not_binary,65,23,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race_sex,HISPANIC|male,not_feasible,outcome_not_binary,55,8,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race_sex,HISPANIC|female,not_feasible,outcome_not_binary,63,19,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race_sex,"NON-BLACK, NON-HISPANIC|male",not_feasible,outcome_not_binary,153,51,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,ba_or_more,race_sex,"NON-BLACK, NON-HISPANIC|female",not_feasible,outcome_not_binary,145,51,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race,BLACK,not_feasible,outcome_not_binary,129,42,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race,HISPANIC,not_feasible,outcome_not_binary,118,27,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race,"NON-BLACK, NON-HISPANIC",not_feasible,outcome_not_binary,298,102,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,sex,male,not_feasible,outcome_not_binary,272,78,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,sex,female,not_feasible,outcome_not_binary,273,93,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race_sex,BLACK|male,not_feasible,outcome_not_binary,64,19,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race_sex,BLACK|female,not_feasible,outcome_not_binary,65,23,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race_sex,HISPANIC|male,not_feasible,outcome_not_binary,55,8,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race_sex,HISPANIC|female,not_feasible,outcome_not_binary,63,19,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race_sex,"NON-BLACK, NON-HISPANIC|male",not_feasible,outcome_not_binary,153,51,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
cnlsy,graduate_or_more,race_sex,"NON-BLACK, NON-HISPANIC|female",not_feasible,outcome_not_binary,145,51,0,,,,,,,data/processed/cnlsy_cfa_resid.csv
