cohort,outcome,predictor_type,predictor,status,reason,outcome_col,n_total,n_used,pearson,spearman,beta_predictor,SE_beta_predictor,p_value_beta_predictor,r2,source_data
nlsy79,earnings,subtest,AR,computed,,annual_earnings,9261,7390,0.37204253854081903,0.3583210289898399,5562.340302894776,161.45459655711753,2.4365931972497126e-241,0.13841565048389715,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,MK,computed,,annual_earnings,9261,7390,0.37556519180112263,0.36017167609038225,5569.597766073608,159.9039511754729,2.961095219841367e-246,0.14104921329261433,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,WK,computed,,annual_earnings,9261,7390,0.3053647706337843,0.3112034630158599,4535.6060977972675,164.54977841203925,2.7893669060100753e-159,0.09324764314422374,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,PC,computed,,annual_earnings,9261,7390,0.2769571892281833,0.28153713376918377,4098.392849403381,165.4274874571148,3.1031080266453814e-130,0.07670528466517557,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,GS,computed,,annual_earnings,9261,7390,0.35410276094580995,0.34471261516330504,5268.454687371218,161.8817977193131,3.040357647889937e-217,0.12538876530944554,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,AS,computed,,annual_earnings,9261,7390,0.34293873068430125,0.3526396554226477,5184.8355813712005,165.22891200015061,5.1013235002055887e-203,0.11760697300335976,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,MC,computed,,annual_earnings,9261,7390,0.35506690167656185,0.3580428257810133,5336.411723666835,163.46071616697233,1.6868827982245684e-218,0.12607250466619335,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,subtest,EI,computed,,annual_earnings,9261,7390,0.3615614865723986,0.3639429830710967,5412.700582073961,162.3852450048339,4.493608668343555e-227,0.13072670857244284,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,speed,computed,,annual_earnings,9261,7390,0.2830714613492628,0.27981990802111095,4508.200585446637,177.70803213462108,3.3233420087711153e-136,0.08012945223040724,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,math,computed,,annual_earnings,9261,7390,0.39081516986561016,0.37696657758750096,6083.9954107710255,166.71062165649244,2.990201301667082e-268,0.15273649699708625,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,verbal,computed,,annual_earnings,9261,7390,0.306721491487613,0.3118612940470051,4790.739616913537,172.9578595144768,9.411587578362477e-161,0.09407807334038587,data/processed/nlsy79_cfa_resid.csv
nlsy79,earnings,factor,technical,computed,,annual_earnings,9261,7390,0.3954859932761724,0.3970432916086623,6637.379536495664,179.33622621113517,3.17152027826757e-275,0.15640917087764072,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,NO,computed,,household_income,9261,4736,0.3600561779168489,0.42815472387329573,19803.316045446034,745.7665051689927,5.944813362715366e-145,0.1296404512560897,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,subtest,CS,computed,,household_income,9261,4736,0.3171745289809219,0.39483419902831124,17405.929707889045,756.4170567788183,3.7070372282238856e-111,0.1005996818342697,data/processed/nlsy79_cfa_resid.csv
